Code,Name,Close,Changes,ChagesRatio,Volume,Marcap,ROA,PER
340930,유일에너테크,10560,-210,-1.95,13153,121103664000,-10.8,212.23
032560,황금에스티,7110,-120,-1.66,45178,120870000000,6.2,3.67
215090,휴센텍,1505,0,0.0,0,120843123170,-5.7,20.05
178780,일월지엠엘,8650,0,0.0,0,120790286750,-5.7,-33.06
077500,유니퀘스트,5540,-50,-0.89,80974,120738843100,4.1,10.68
120240,대정화금,16790,-90,-0.53,15661,120726664890,7.8,9.53
023450,동남합성,34450,0,0.0,186,120575000000,5.3,25.01
001750,한양증권,9460,-20,-0.21,2723,120411931640,1.8,4.79
017900,광전자,2075,-20,-0.95,143634,120233308225,0.2,-115.69
200470,에이팩트,2835,-15,-0.53,80463,120096533655,-8.7,-17.87
000230,일동홀딩스,10390,-40,-0.38,40191,119904756000,-11.9,-1.23
012170,아센디오,1305,20,1.56,2609170,119699150535,-30.6,-3.92
106080,하이소닉,7950,0,0.0,16140,119697704250,-18.9,-62.96
067290,JW신약,2470,-30,-1.2,66128,119615127190,-58.8,-3.55
241790,오션브릿지,11940,-10,-0.08,10417,119431449960,14.3,7.7
232530,이엠티,4660,40,0.87,27,119362656640,,
183490,엔지켐생명과학,1402,19,1.37,4330106,119261917924,-4.2,-8.54
263690,디알젬,10520,0,0.0,8127,119145417200,9.4,18.83
051160,지어소프트,7670,90,1.19,185898,118688878100,4.8,57.96
168490,한국패러랠,1481,13,0.89,5279,118509620000,,
027050,코리아나,2960,-70,-2.31,434175,118400000000,2.0,66.14
005710,대원산업,5900,0,0.0,5091,118221840000,5.4,7.16
003100,선광,17910,110,0.62,30842,118206000000,4.5,5.67
009070,KCTC,3935,-25,-0.63,114652,118050000000,4.9,4.97
232680,라온테크,9440,50,0.53,30556,118039968960,1.4,33.96
373200,하인크코리아,6220,-590,-8.66,316086,117725940000,-13.9,-51.62
267290,경동도시가스,19960,160,0.81,18229,117672303760,4.5,6.08
256940,케이피에스,6270,-130,-2.03,24458,117554085660,-6.0,-18.16
004840,DRB동일,5890,30,0.51,19128,117387700000,4.4,4.9
063160,종근당바이오,21350,-400,-1.84,8955,117125288700,-6.3,-6.6
054800,아이디스홀딩스,11310,-40,-0.35,1465,117033120360,6.5,4.1
270520,지오릿에너지,2800,-35,-1.23,214745,116935016800,15.1,
264660,씨앤지하이테크,12750,-50,-0.39,5034,116893083750,9.1,5.07
078940,퀀타피아,2200,125,6.02,1085605,116807411600,-55.2,-8.65
005990,매일홀딩스,8490,-40,-0.47,6463,116468400960,5.4,6.3
092460,한라IMS,6760,150,2.27,52118,115661436800,68.4,1.67
067570,엔브이에이치코리아,2740,15,0.55,56818,115545800000,0.4,-6.78
037440,희림,8290,-90,-1.07,416242,115417317750,2.3,28.03
096775,SK이노베이션우,92400,-300,-0.32,2094,115354562400,,-60.25
021320,KCC건설,5390,-60,-1.1,37912,115346000000,1.5,15.36
